project_key,project_url,project_type,languages,complexoty,bugs,code_smell,ncloc,violations
vbevbe_telerik-github-actions-2021,https://github.com/vbevbe/telerik-github-actions-2021,github,py|,6,0,0,25,0
vbevbe_telerik-devops-2022,https://github.com/vbevbe/telerik-devops-2022,github,py|,6,0,3,21,3
Vel0405_Bike-Rental-System-Python-oops,https://github.com/Vel0405/Bike-Rental-System-Python-oops,github,py|,23,0,3,132,3
velomatt_dss-ecosystem,https://github.com/velomatt/dss-ecosystem,github,c|cpp|go|json|py|,4934,5,1017,24500,1022
velomatt_dss-sdk,https://github.com/velomatt/dss-sdk,github,c|cpp|json|py|web|yaml|,7495,97,5620,50436,5725
Venkatesh0625_Online,https://github.com/Venkatesh0625/Online,github,py|,113,0,0,478,0
verrazzano_verrazzano,https://github.com/verrazzano/verrazzano,github,go|json|py|terraform|web|xml|yaml|,22120,2,1353,269030,1355
LydiaHaile_QualityTP3,https://github.com/LydiaHaile/QualityTP3,github,css|flex|java|js|json|jsp|php|plsql|py|web|xml|,13448,3621,4470,167944,8093
vesoapp_veso-web,https://github.com/vesoapp/veso-web,github,css|js|json|py|ts|web|yaml|,16697,14,351,86616,365
ViBiOh_mailer,https://github.com/ViBiOh/mailer,github,go|json|py|web|yaml|,150,0,0,1237,0
ViBiOh_dotfiles,https://github.com/ViBiOh/dotfiles,github,json|py|yaml|,98,0,1,462,1
vil02_pi2022,https://github.com/vil02/pi2022,github,json|py|,320,0,0,1917,0
vil02_string_to_code_proj,https://github.com/vil02/string_to_code_proj,github,json|py|yaml|,225,0,0,1243,0
vil02_pi2021,https://github.com/vil02/pi2021,github,json|py|,122,0,0,747,0
vinteo_hass-opensprinkler,https://github.com/vinteo/hass-opensprinkler,github,json|py|yaml|,155,0,16,775,16
virtru_protect-and-track,https://github.com/virtru/protect-and-track,github,css|js|json|py|web|,612,17,561,5094,580
vkgeo_vkgeo-web,https://github.com/vkgeo/vkgeo-web,github,css|js|py|web|,194,0,0,936,0
vlebourl_custom_vesync,https://github.com/vlebourl/custom_vesync,github,json|py|yaml|,283,0,1,1251,1
